Metric,Cattle_Type,Pearson_r,Pearson_p,Spearman_r,Spearman_p,N
mean_daytime_hours_above_30,dairy,-0.08140680160251905,8.133212383221597e-08,-0.13079526960019053,5.555451238650333e-18,4330
mean_daytime_hours_above_35,dairy,-0.04023058694735739,0.008106774147855038,-0.11290222696335708,9.266069963518642e-14,4330
mean_nighttime_hours_above_21,dairy,-0.10484146437982336,4.648056331336891e-12,-0.12759216296703377,3.517567341338209e-17,4330
mean_nighttime_hours_above_24,dairy,-0.09575942238568609,2.720435514603931e-10,-0.1288008914921524,1.7625098376432645e-17,4330
mean_vpd_mean,dairy,-0.09940252031320981,5.552659616425822e-11,-0.1338401341052129,9.208624871654292e-19,4330
mean_vpd_max,dairy,-0.09531489964223046,3.2894848555561997e-10,-0.11829237713037703,5.75767801935276e-15,4330
mean_daytime_hours_above_30,beef_only,0.08560517519701398,1.6829442094592302e-08,0.1369980243136967,1.3661199628022193e-19,4330
mean_daytime_hours_above_35,beef_only,0.18049421358783407,4.9791891067767184e-33,0.18574914913907048,6.506362709177831e-35,4330
mean_nighttime_hours_above_21,beef_only,0.11071843329730367,2.753280606103279e-13,0.11588988427284455,2.0183223325043414e-14,4330
mean_nighttime_hours_above_24,beef_only,0.132495638219722,2.0468366891319763e-18,0.155304122278893,8.771517369878294e-25,4330
mean_vpd_mean,beef_only,0.18127234906586423,2.641230458404581e-33,0.169718241587751,2.4129661451098283e-29,4330
mean_vpd_max,beef_only,0.10537806642707026,3.613593696491514e-12,0.09569058796391053,2.80179518915495e-10,4330
mean_daytime_hours_above_30,total_beef_dairy,0.04435078859980431,0.003319579913120517,0.06969266991920793,3.879752178748355e-06,4382
mean_daytime_hours_above_35,total_beef_dairy,0.14548328571818941,3.692360824309833e-22,0.12240600464124786,4.252315202968971e-16,4382
mean_nighttime_hours_above_21,total_beef_dairy,0.057536274916543215,0.00013852872133411572,0.05516381195204034,0.00025878948227037505,4382
mean_nighttime_hours_above_24,total_beef_dairy,0.08059449051484079,9.179631622773764e-08,0.09000387227726164,2.396305258200675e-09,4382
mean_vpd_mean,total_beef_dairy,0.12300132082576144,3.0584561929697986e-16,0.10109558312205637,1.9802467645139855e-11,4382
mean_vpd_max,total_beef_dairy,0.0567374986704547,0.00017142102367062587,0.04091474121040843,0.006753081640751798,4382
