Model,Train R²,Test R²,Test RMSE,Test MAE,Overfit
Ridge,0.2532722732802881,0.39838985896715595,4.68809464992627,3.900357472120723,-0.14511758568686783
LASSO,0.2396812647495482,0.3649263280442282,4.816713903346091,4.031195519876528,-0.12524506329468
ElasticNet,0.2456365677380009,0.37660532732146035,4.772218724321063,3.9866936431779374,-0.13096875958345944
XGB_Reduced,0.43721248881131547,0.44257991851981626,4.512633907434768,3.721938516536435,-0.005367429708500793
XGB_Full_Reg,0.43751850700657857,0.43417698885334643,4.546519937172744,3.7478605482313365,0.003341518153232137
QR_50,,,6.285720909833799,5.398275862068965,
QR_90,,,8.359140499181567,6.866666666666667,
QR_95,,,10.16621913467602,8.64176245210728,
Climatology,,0.4887746659829696,4.321604118916398,3.4521958812260536,
Ridge_Anomaly,0.04078891945234919,0.5261849441291374,4.160477957503287,3.3133210640394957,-0.4853960246767882
XGB_Anomaly,0.14127603521527243,0.5281444975653595,4.151865814963818,3.3460613359752647,-0.3868684623500871
AR_Only,,0.9398422643660693,1.482465302960288,1.0132266778336165,
AR+Ridge,,0.9422811706848703,1.452103439299159,1.0062643008839218,
AR+XGB,,0.9415333235790558,1.461480417131767,0.9939053328789555,
