year,region,regional_inventory_head
1984,region_4,14779000
1984,region_6,24540000
1985,region_4,14268000
1985,region_6,23980000
1986,region_4,13745000
1986,region_6,23180000
1987,region_4,13433000
1987,region_6,22910000
1988,region_4,12785000
1988,region_6,22895000
1989,region_4,12410000
1989,region_6,22350000
1990,region_4,12180000
1990,region_6,22150000
1991,region_4,12150000
1991,region_6,22380000
1992,region_4,12410000
1992,region_6,22680000
1993,region_4,12690000
1993,region_6,23320000
1994,region_4,13010000
1994,region_6,24120000
1995,region_4,13340000
1995,region_6,25010000
1996,region_4,13460000
1996,region_6,24930000
1997,region_4,12780000
1997,region_6,24130000
1998,region_4,12100000
1998,region_6,24230000
1999,region_4,11850000
1999,region_6,23750000
2000,region_4,11455000
2000,region_6,23480000
2001,region_4,11325000
2001,region_6,22990000
2002,region_4,11370000
2002,region_6,23050000
2003,region_4,11555000
2003,region_6,23660000
2004,region_4,11160000
2004,region_6,23110000
2005,region_4,10965000
2005,region_6,23130000
2006,region_4,10910000
2006,region_6,23550000
2007,region_4,11070000
2007,region_6,23380000
2008,region_4,10725000
2008,region_6,23230000
2009,region_4,10535000
2009,region_6,23270000
2010,region_4,10580000
2010,region_6,23110000
2011,region_4,10175000
2011,region_6,22450000
2012,region_4,10230000
2012,region_6,20270000
2013,region_4,10145000
2013,region_6,19540000
2014,region_4,9895000
2014,region_6,19090000
2015,region_4,9715000
2015,region_6,20000000
2016,region_4,10110000
2016,region_6,20440000
2017,region_4,10160000
2017,region_6,21240000
2018,region_4,10090000
2018,region_6,21690000
2019,region_4,9990000
2019,region_6,22340000
2020,region_4,10060000
2020,region_6,21990000
2021,region_4,10005000
2021,region_6,22345000
2022,region_4,9710000
2022,region_6,21675000
2023,region_4,9375000
2023,region_6,20790000
2024,region_4,9080000
2024,region_6,20280000
2025,region_4,8955000
2025,region_6,20260000
2026,region_4,8900000
2026,region_6,20180000
