region,season,variable,z_stat,p_value,trend,significant,first_decade,last_decade
region_4,Winter,mean_vpd_mean,3.1970298532467587,0.0013885055542752767,increasing,True,0.2573941801070839,0.30218922792773545
region_4,Winter,mean_daytime_hours_above_30,3.85811060256219,0.00011426694007976579,increasing,True,0.001062914721061684,0.025626982176502926
region_4,Winter,mean_daytime_hours_above_35,0.0,1.0,decreasing,False,0.0,0.0
region_4,Winter,mean_nighttime_hours_above_21,3.153680295914599,0.0016122560348743598,increasing,True,2.2039707895937926,3.4919033575583094
region_4,Winter,mean_nighttime_hours_above_24,3.4354524185736355,0.0005915653350088146,increasing,True,0.49143436435768695,0.986316691827874
region_4,Spring,mean_vpd_mean,1.398023223962142,0.1621060932841063,increasing,False,0.7138255707182728,0.7799198258381623
region_4,Spring,mean_daytime_hours_above_30,2.069941362610613,0.03845783590249274,increasing,True,1.3438594951374505,2.436616578309869
region_4,Spring,mean_daytime_hours_above_35,2.2541769812722907,0.024185036295084394,increasing,True,0.0420338447494997,0.1226538637081768
region_4,Spring,mean_nighttime_hours_above_21,3.630525426568353,0.000282844837641516,increasing,True,18.234583786820206,22.50389003967279
region_4,Spring,mean_nighttime_hours_above_24,3.262054189244998,0.0011060799756155149,increasing,True,8.606600428325667,11.357330688480847
region_4,Summer,mean_vpd_mean,-0.11921128266343846,0.9051079681213974,decreasing,False,1.4823257574013302,1.4480664085555863
region_4,Summer,mean_daytime_hours_above_30,1.3763484452960622,0.16871378102625245,increasing,False,20.672962819927676,23.888979391215813
region_4,Summer,mean_daytime_hours_above_35,0.617731191983272,0.5367525471383339,increasing,False,3.4213565986728924,3.556354667696521
region_4,Summer,mean_nighttime_hours_above_21,2.5901360505965263,0.009593800755381299,increasing,True,62.678478390618956,64.6646771758593
region_4,Summer,mean_nighttime_hours_above_24,2.30836392793749,0.020978903538586335,increasing,True,48.66867605238212,52.505129375416914
region_4,Fall,mean_vpd_mean,1.701470125287258,0.08885474302603114,increasing,False,0.8288230912043499,0.9431456859295185
region_4,Fall,mean_daytime_hours_above_30,1.5063971172925406,0.1319652602821486,increasing,False,4.937134431064143,7.186237404767756
region_4,Fall,mean_daytime_hours_above_35,1.0512267653048664,0.29315445312834054,increasing,False,0.4174490046694519,0.7099041533546326
region_4,Fall,mean_nighttime_hours_above_21,2.6118108292626063,0.009006407424790197,increasing,True,29.038289506021137,33.68382895060212
region_4,Fall,mean_nighttime_hours_above_24,2.8935829519216427,0.003808736710099847,increasing,True,17.324477758663065,21.67965101990661
region_6,Winter,mean_vpd_mean,3.6738749839005123,0.0002388996523232656,increasing,True,0.2783772841819149,0.35386658290148654
region_6,Winter,mean_daytime_hours_above_30,2.4384125999339683,0.014751925498527552,increasing,True,0.014855072463768115,0.03646176477984257
region_6,Winter,mean_daytime_hours_above_35,0.5852190239841524,0.5584004547635599,increasing,False,0.00043712961333098606,0.00029693799716683
region_6,Winter,mean_nighttime_hours_above_21,3.543826311904034,0.00039436495526268267,increasing,True,2.081900403181868,4.0506165078247465
region_6,Winter,mean_nighttime_hours_above_24,3.543826311904034,0.00039436495526268267,increasing,True,0.5636486701704093,1.4777807813849004
region_6,Spring,mean_vpd_mean,1.3763484452960622,0.16871378102625245,increasing,False,0.8286576988605352,0.9063031909229992
region_6,Spring,mean_daytime_hours_above_30,1.3763484452960622,0.16871378102625245,increasing,False,2.300143334925944,3.3674239947695326
region_6,Spring,mean_daytime_hours_above_35,0.9862024293066273,0.32403378743423294,increasing,False,0.2639148037317373,0.47484094852515907
region_6,Spring,mean_nighttime_hours_above_21,2.9802820665859615,0.0028798307273039114,increasing,True,25.731948600598486,29.952481957401865
region_6,Spring,mean_nighttime_hours_above_24,2.481762157266128,0.013073450432612654,increasing,True,15.194211280710139,18.749134961148687
region_6,Summer,mean_vpd_mean,1.0729015439709462,0.28331529325095506,increasing,False,1.637097668975264,1.787219806228365
region_6,Summer,mean_daytime_hours_above_30,3.11033073858244,0.001868779655652908,increasing,True,20.67733925113788,25.442203334423013
region_6,Summer,mean_daytime_hours_above_35,2.221664813273171,0.02630596617956571,increasing,True,5.273822516156612,8.241799733447332
region_6,Summer,mean_nighttime_hours_above_21,4.280768786550745,1.862487858761419e-05,increasing,True,63.77638368496493,66.23401312646165
region_6,Summer,mean_nighttime_hours_above_24,4.107370557222107,4.0018891917181776e-05,increasing,True,55.03415646138758,59.96741393617824
region_6,Fall,mean_vpd_mean,2.481762157266128,0.013073450432612654,increasing,True,0.8288856609509543,0.9835612198481194
region_6,Fall,mean_daytime_hours_above_30,3.1753550745806787,0.00149653255077431,increasing,True,5.104083788065482,7.991427565569441
region_6,Fall,mean_daytime_hours_above_35,1.1379258799691852,0.25515143362394865,increasing,False,0.7767998591797218,1.2730505192747754
region_6,Fall,mean_nighttime_hours_above_21,4.042346221223868,5.291901774939767e-05,increasing,True,31.16835064249252,37.58079563457138
region_6,Fall,mean_nighttime_hours_above_24,3.9989966638917083,6.361157663703487e-05,increasing,True,21.248336560464708,27.57632459074107
